cod_ine,municipio,fecha,matriculaciones,ratio_x1000
07004,Algaida,2026-01-01,20,3.114779629341224
11003,Algar,2026-01-01,31,21.335168616655196
46028,Algar de Palancia,2026-01-01,0,0
18012,Algarinejo,2026-01-01,2,0.8543357539513029
29005,Algarrobo,2026-01-01,13,1.8320180383314542
11004,Algeciras,2026-01-01,308,2.434782608695652
46029,Algemesí,2026-01-01,61,2.1594449164542624
25015,Algerri,2026-01-01,0,0
28009,Algete,2026-01-01,42,1.981692931961876
46030,Algimia de Alfara,2026-01-01,0,0
46031,Alginet,2026-01-01,29,1.9357853280822375
11005,Algodonales,2026-01-01,3,0.5533013648100331
03012,Algorfa,2026-01-01,23,6.134969325153374
25016,Alguaire,2026-01-01,5,1.6355904481517827
30007,Alguazas,2026-01-01,16,1.535656013053076
03013,Algueña,2026-01-01,6,4.52147701582517
04010,Alhabia,2026-01-01,1,1.3333333333333333
18013,Alhama de Granada,2026-01-01,13,2.3436091581034795
30008,Alhama de Murcia,2026-01-01,55,2.2701944111941224
13010,Alhambra,2026-01-01,0,0
44017,Aliaga,2026-01-01,0,0
16014,Aliaguilla,2026-01-01,0,0
24003,Alija del Infantado,2026-01-01,0,0
25017,Alins,2026-01-01,0,0
10018,Aliseda,2026-01-01,4,2.3161551823972206
21002,Aljaraque,2026-01-01,25,1.0978394519585457
20006,Alkiza,2026-01-01,0,0
32001,Allariz,2026-01-01,8,1.229823212913144
31012,Allo,2026-01-01,1,0.975609756097561
44022,Alloza,2026-01-01,0,0
25019,Almacelles,2026-01-01,15,2.084201750729471
13012,Almadenejos,2026-01-01,1,2.617801047120419
19020,Almadrones,2026-01-01,0,0
13013,Almagro,2026-01-01,9,0.9742368478025547
02009,Almansa,2026-01-01,36,1.4632361907084503
24004,Almanza,2026-01-01,0,0
10019,Almaraz,2026-01-01,2,1.2539184952978057
49007,Almaraz de Duero,2026-01-01,1,2.5906735751295336
16015,"Almarcha, La",2026-01-01,4,8.421052631578947
29010,Almargen,2026-01-01,3,1.5915119363395225
42019,Almarza,2026-01-01,0,0
25020,Almatret,2026-01-01,0,0
14004,Almedinilla,2026-01-01,4,1.7316017316017316
12010,Almedíjar,2026-01-01,1,3.4602076124567476
49008,Almeida de Sayago,2026-01-01,0,0
25021,Almenar,2026-01-01,1,0.29788501638367587
12011,Almenara,2026-01-01,9,1.3146362839614374
37028,Almendra,2026-01-01,1,7.751937984496124
06010,Almendral,2026-01-01,4,3.3195020746887964
45011,Almendral de la Cañada,2026-01-01,1,2.923976608187134
06011,Almendralejo,2026-01-01,64,1.8527095877721167
21003,"Almendro, El",2026-01-01,0,0
16016,Almendros,2026-01-01,1,4.166666666666667
41010,Almensilla,2026-01-01,8,1.1994002998500748
04013,Almería,2026-01-01,258,1.2599378821323228
16017,Almodóvar del Pinar,2026-01-01,2,5.012531328320802
19021,Almoguera,2026-01-01,2,1.4398848092152627
46034,Almoines,2026-01-01,10,3.7369207772795217
50022,"Almolda, La",2026-01-01,21,40.229885057471265
45012,Almonacid de Toledo,2026-01-01,5,4.940711462450593
19022,Almonacid de Zorita,2026-01-01,1,1.4727540500736376
50024,Almonacid de la Sierra,2026-01-01,83,108.63874345549739
16018,Almonacid del Marquesado,2026-01-01,0,0
21004,Almonaster la Real,2026-01-01,2,1.135718341851221
21005,Almonte,2026-01-01,51,2.0209224916785544
03015,Almoradí,2026-01-01,38,1.661274809827752
45013,Almorox,2026-01-01,5,1.949317738791423
43011,Almoster,2026-01-01,2,1.4461315979754157
22022,Almunia de San Juan,2026-01-01,0,0
22023,Almuniente,2026-01-01,1,2.2222222222222223
13016,Almuradiel,2026-01-01,0,0
46035,Almussafes,2026-01-01,86,9.485991617030663
46032,Almàssera,2026-01-01,13,1.6592214422463305
48912,Alonsotegi,2026-01-01,4,1.3382402141184342
21006,Alosno,2026-01-01,3,0.7455268389662028
19024,Alovera,2026-01-01,29,1.9954586114360422
29013,Alozaina,2026-01-01,6,2.8169014084507045
17006,Alp,2026-01-01,8,4.640371229698376
50026,Alpartir,2026-01-01,1,1.6528925619834711
28010,Alpedrete,2026-01-01,22,1.3896784789337375
08004,Alpens,2026-01-01,2,7.49063670411985
02010,Alpera,2026-01-01,2,0.8620689655172413
25023,Alpicat,2026-01-01,20,3.050640634533252
46036,Alpuente,2026-01-01,3,4.354136429608127
03017,"Alqueria d'Asnar, l'",2026-01-01,1,1.9267822736030829
18018,Alquife,2026-01-01,0,0
43012,Altafulla,2026-01-01,12,2.0491803278688527
16019,Altarejos,2026-01-01,1,5.128205128205129
03018,Altea,2026-01-01,88,3.5582871699486476
09014,"Altos, Los",2026-01-01,1,5.524861878453039
12012,Altura,2026-01-01,8,2.044989775051125
20906,Altzaga,2026-01-01,1,6.0606060606060606
20007,Altzo,2026-01-01,3,6.7114093959731544
19027,Alustante,2026-01-01,0,0
46017,Alzira,2026-01-01,95,1.9545716401942228
05012,Amavida,2026-01-01,0,0
50027,Ambel,2026-01-01,1,3.952569169960474
28011,Ambite,2026-01-01,0,0
17007,Amer,2026-01-01,4,1.6535758577924762
15002,Ames,2026-01-01,11,0.3311956161743896
43013,"Ametlla de Mar, L'",2026-01-01,11,1.4792899408284024
20008,Amezketa,2026-01-01,1,1.0482180293501049
33003,Amieva,2026-01-01,2,3.3840947546531304
32002,Amoeiro,2026-01-01,2,0.8193363375665711
48003,Amorebieta-Etxano,2026-01-01,25,1.2729772391669638
43906,"Ampolla, L'",2026-01-01,12,3.1504331845628775
43014,Amposta,2026-01-01,66,2.863713281555083
34010,Ampudia,2026-01-01,0,0
39002,Ampuero,2026-01-01,4,0.886328384666519
01002,Amurrio,2026-01-01,10,0.9665571235260003
34011,Amusco,2026-01-01,1,2.3923444976076556
40017,Anaya,2026-01-01,0,0
28012,Anchuelo,2026-01-01,6,4.246284501061571
46038,Andilla,2026-01-01,0,0
20009,Andoain,2026-01-01,16,1.1030679076180627
44025,Andorra,2026-01-01,7,0.9733036707452725
31015,Andosilla,2026-01-01,7,2.3882633913340157
07005,Andratx,2026-01-01,21,1.6902768834513844
25027,Anglesola,2026-01-01,6,4.301075268817204
26013,Anguciana,2026-01-01,0,0
26014,Anguiano,2026-01-01,1,2.044989775051125
09017,Anguix,2026-01-01,0,0
46039,Anna,2026-01-01,7,2.6646364674533687
20010,Anoeta,2026-01-01,4,1.8921475875118259
19034,Anquela del Pedregal,2026-01-01,0,0
04016,Antas,2026-01-01,124,35.37803138373752
46040,Antella,2026-01-01,0,0
29015,Antequera,2026-01-01,70,1.6737202018028359
20011,Antzuola,2026-01-01,5,2.440214738897023
21007,Aracena,2026-01-01,28,3.313217370725358
38004,Arafo,2026-01-01,6,1.0005002501250624
41011,Arahal,2026-01-01,32,1.636159116474077
20012,Arama,2026-01-01,0,0
01003,Aramaio,2026-01-01,1,0.7390983000739099
09018,Aranda de Duero,2026-01-01,42,1.2387918829636622
15003,Aranga,2026-01-01,0,0
31023,Aranguren,2026-01-01,12,0.9090909090909091
28013,Aranjuez,2026-01-01,69,1.080860929227106
31024,Arano,2026-01-01,5,46.29629629629629
31022,Arantza,2026-01-01,1,1.594896331738437
48006,Arantzazu,2026-01-01,1,2.4390243902439024
19036,Aranzueque,2026-01-01,0,0
37032,Arapiles,2026-01-01,7,9.358288770053475
46041,Aras de los Olmos,2026-01-01,1,2.493765586034913
09020,Arauzo de Miel,2026-01-01,1,3.875968992248062
25029,Arbeca,2026-01-01,4,1.8467220683287164
31027,Arbizu,2026-01-01,0,0
04017,Arboleas,2026-01-01,10,2.391200382592061
43016,"Arboç, L'",2026-01-01,3,0.5262234695667427
16905,Arcas,2026-01-01,2,0.8361204013377926
49010,Arcenillas,2026-01-01,0,0
30009,Archena,2026-01-01,25,1.2022120702091847
29017,Archidona,2026-01-01,16,1.9757964929612248
11006,Arcos de la Frontera,2026-01-01,60,1.9180972475304499
49011,Arcos de la Polvorosa,2026-01-01,2,9.47867298578199
44026,Arcos de las Salinas,2026-01-01,1,9.5238095238095255
31029,"Arcos, Los",2026-01-01,2,1.7050298380221653
29018,Ardales,2026-01-01,3,1.1904761904761907
50033,Ardisa,2026-01-01,0,0
48093,Areatza,2026-01-01,4,3.10077519379845
31030,Arellano,2026-01-01,1,6.097560975609756
05013,"Arenal, El",2026-01-01,0,0
13903,Arenales de San Gregorio,2026-01-01,0,0
39004,Arenas de Iguña,2026-01-01,1,0.5757052389176742
13018,Arenas de San Juan,2026-01-01,4,3.9603960396039604
05014,Arenas de San Pedro,2026-01-01,14,2.1604938271604937
18020,Arenas del Rey,2026-01-01,0,0
08006,Arenys de Mar,2026-01-01,25,1.4721469791543988
08007,Arenys de Munt,2026-01-01,20,2.099296735593576
26015,Arenzana de Abajo,2026-01-01,1,3.9215686274509802
15004,Ares,2026-01-01,6,0.9580073447229762
31031,Areso,2026-01-01,0,0
20013,Aretxabaleta,2026-01-01,12,1.6722408026755853
13019,Argamasilla de Alba,2026-01-01,11,1.6264971166642024
13020,Argamasilla de Calatrava,2026-01-01,16,2.733640867930976
28014,Arganda del Rey,2026-01-01,173,2.8782963147824643
24007,Arganza,2026-01-01,0,0
19039,Argecilla,2026-01-01,0,0
17010,Argelaguer,2026-01-01,1,2.1413276231263385
43017,"Argentera, L'",2026-01-01,1,7.194244604316547
08009,Argentona,2026-01-01,26,2.016911023194477
08008,Argençola,2026-01-01,0,0
39005,Argoños,2026-01-01,0,0
31032,Arguedas,2026-01-01,3,1.2987012987012987
07901,Ariany,2026-01-01,4,3.734827264239029
38005,Arico,2026-01-01,0,0
50034,Ariza,2026-01-01,3,2.7548209366391188
44029,Ariño,2026-01-01,3,4.934210526315789
23006,Arjona,2026-01-01,7,1.314060446780552
23007,Arjonilla,2026-01-01,4,1.1347517730496455
17011,"Armentera, L'",2026-01-01,8,7.434944237918216
18021,Armilla,2026-01-01,53,2.0982620056217587
40022,Armuña,2026-01-01,0,0
19041,Armuña de Tajuña,2026-01-01,0,0
26017,Arnedillo,2026-01-01,1,2.288329519450801
26018,Arnedo,2026-01-01,15,0.9949588750331653
39006,Arnuero,2026-01-01,4,1.7421602787456445
21008,Aroche,2026-01-01,2,0.6673340006673341
38006,Arona,2026-01-01,32,0.35940518441978525
23008,Arquillos,2026-01-01,4,2.373887240356083
01037,Arraia-Maeztu,2026-01-01,0,0
48009,Arrankudiaga,2026-01-01,0,0
35004,Arrecife,2026-01-01,103,1.465879171707109
39007,Arredondo,2026-01-01,0,0
29020,Arriate,2026-01-01,7,1.729676303434643
48010,Arrieta,2026-01-01,5,8.591065292096221
48011,Arrigorriaga,2026-01-01,15,1.256491874685877
47010,Arroyo de la Encomienda,2026-01-01,64,2.8097286855737993
10021,Arroyo de la Luz,2026-01-01,3,0.545950864422202
23905,Arroyo del Ojanco,2026-01-01,2,0.9070294784580499
10023,Arroyomolinos,2026-01-01,90,109.22330097087378
28015,Arroyomolinos,2026-01-01,90,2.3569464449391124
31037,Arruazu,2026-01-01,0,0
31038,Artajona,2026-01-01,3,1.6882386043894204
12016,Artana,2026-01-01,2,1.004016064257028
48023,Artea,2026-01-01,1,1.3458950201884252
35005,Artenara,2026-01-01,1,0.9737098344693281
25033,Artesa de Lleida,2026-01-01,2,1.2944983818770226
25034,Artesa de Segre,2026-01-01,4,1.1129660545353368
01004,Artziniega,2026-01-01,2,1.0706638115631693
25036,Aspa,2026-01-01,0,0
49016,Aspariegos,2026-01-01,0,0
03019,Aspe,2026-01-01,42,1.8788583698666905
20014,Asteasu,2026-01-01,4,2.5559105431309903
20903,Astigarraga,2026-01-01,27,3.459764223475141
24008,Astorga,2026-01-01,22,2.1359223300970873
34017,Astudillo,2026-01-01,3,2.876318312559923
49017,Asturianos,2026-01-01,0,0
29021,Atajate,2026-01-01,0,0
37037,"Atalaya, La",2026-01-01,1,9.803921568627452
09029,Atapuerca,2026-01-01,0,0
47011,Ataquines,2026-01-01,1,1.7006802721088434
18022,Atarfe,2026-01-01,50,2.3864070255822836
20015,Ataun,2026-01-01,4,2.333722287047841
28016,"Atazar, El",2026-01-01,0,0
50038,Ateca,2026-01-01,3,1.681614349775785
19044,Atienza,2026-01-01,0,0
48091,Atxondo,2026-01-01,1,0.7473841554559043
46003,Atzeneta d'Albaida,2026-01-01,2,1.6736401673640167
